"","prim_state","area_name","tot_emp","emp_prse","jobs_1000","loc.quotient","mor","high_emp","low_emp"
"37","MD","Salisbury, MD",80,2.1,"1.569","1.52",24.78984272384,99.831874179072,60.168125820928
"38","GA","Athens-Clarke County, GA",120,5.1,"1.556","1.51",22.7790656241357,147.334878748963,92.6651212510371
"39","AR","Jonesboro, AR",80,3.8,"1.539","1.49",24.78984272384,99.831874179072,60.168125820928
"40","NY","Albany-Schenectady-Troy, NY",660,5.1,"1.538","1.49",15.9615206300183,765.346036158121,554.653963841879
"41","IN","Muncie, IN",70,4.3,"1.524","1.48",25.4901630608888,87.8431141426221,52.1568858573779
"42","VA","Lynchburg, VA",150,18.2,"1.515","1.47",21.7429065502564,182.614359825385,117.385640174615
"43","CT","Norwich-New London, CT-RI",190,11.2,"1.513","1.47",20.696608577694,229.323556297619,150.676443702381
"44","MI","Niles-Benton Harbor, MI",90,22.9,"1.508","1.46",24.188104503449,111.769294053104,68.2307059468959
"45","TX","McAllen-Edinburg-Mission, TX",350,3,"1.5","1.46",18.2199304470478,413.769756564667,286.230243435333
"46","TN","Kingsport-Bristol-Bristol, TN-VA",170,16,"1.5","1.46",21.182488376631,206.010230240273,133.989769759727
"47","CT","Hartford-West Hartford-East Hartford, CT",830,8.1,"1.486","1.44",15.2162797022871,956.295121528983,703.704878471017
"48","MS","Jackson, MS",370,7.7,"1.477","1.43",18.0099170485859,436.636693079768,303.363306920232
"49","NY","Glens Falls, NY",80,6.7,"1.466","1.42",24.78984272384,99.831874179072,60.168125820928
"50","PA","Johnstown, PA",80,8.9,"1.465","1.42",24.78984272384,99.831874179072,60.168125820928
"51","WI","Madison, WI",500,5.6,"1.463","1.42",16.9133472718427,584.566736359214,415.433263640786
"52","NC","Fayetteville, NC",180,6.9,"1.461","1.42",20.9313885726946,217.67649943085,142.32350056915
"53","PR","San Juan-Caguas-Guaynabo, PR",1050,1.5,"1.459","1.42",14.4878870955027,1202.12281450278,897.877185497221
"54","MA","Pittsfield, MA",50,13.9,"1.454","1.41",27.3438247034175,63.6719123517087,36.3280876482913
"55","MA","Boston-Cambridge-Quincy, MA NECTA Division",2540,2.3,"1.452","1.41",12.0494003670639,2846.05476932342,2233.94523067658
"56","NC","Burlington, NC",80,8.3,"1.452","1.41",24.78984272384,99.831874179072,60.168125820928
"57","NY","Syracuse, NY",440,6.8,"1.447","1.41",17.3704923889517,516.430166511388,363.569833488612
"58","WA","Olympia, WA",140,17.6,"1.446","1.4",22.0581363757847,170.881390926099,109.118609073901
"59","MI","Ann Arbor, MI",290,9,"1.437","1.4",18.9489657869872,344.952000782263,235.047999217737
"60","IN","Bloomington, IN",100,3.6,"1.429","1.39",23.6622187509264,123.662218750926,76.3377812490736
"61","LA","Alexandria, LA",90,18.9,"1.421","1.38",24.188104503449,111.769294053104,68.2307059468959
"62","IL","Peoria, IL",260,29,"1.413","1.37",19.3856202915816,310.402612758112,209.597387241888
"63","MD","Cumberland, MD-WV",50,18.4,"1.411","1.37",27.3438247034175,63.6719123517087,36.3280876482913
"64","DC","Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",3340,2.4,"1.409","1.37",11.3803784387624,3720.10463985466,2959.89536014534
"65","NY","Rochester, NY",700,4.4,"1.407","1.37",15.7667767600494,810.367437320346,589.632562679654
"66","SC","Columbia, SC",480,2.5,"1.397","1.36",17.0580079829849,561.878438318328,398.121561681672
"67","NJ","Edison-New Brunswick, NJ Metropolitan Division",1370,18.2,"1.391","1.35",13.7057182462121,1557.76833997311,1182.23166002689
"68","CT","Waterbury, CT",90,10.8,"1.39","1.35",24.188104503449,111.769294053104,68.2307059468959
"69","IN","South Bend-Mishawaka, IN-MI",170,5.4,"1.385","1.34",21.182488376631,206.010230240273,133.989769759727
"70","NH","Rochester-Dover, NH-ME",70,16.6,"1.377","1.34",25.4901630608888,87.8431141426221,52.1568858573779
"71","CO","Greeley, CO",120,5.3,"1.376","1.34",22.7790656241357,147.334878748963,92.6651212510371
"72","MS","Pascagoula, MS",70,18.4,"1.375","1.34",25.4901630608888,87.8431141426221,52.1568858573779
"73","NY","Utica-Rome, NY",170,13.5,"1.372","1.33",21.182488376631,206.010230240273,133.989769759727
"74","FL","Palm Bay-Melbourne-Titusville, FL",260,6,"1.363","1.32",19.3856202915816,310.402612758112,209.597387241888
"75","MO","Jefferson City, MO",100,13.6,"1.36","1.32",23.6622187509264,123.662218750926,76.3377812490736
"76","IL","Lake County-Kenosha County, IL-WI Metropolitan Division",510,20.5,"1.35","1.31",16.8436153416906,595.902438242622,424.097561757378
"77","ND","Bismarck, ND",90,13.6,"1.34","1.3",24.188104503449,111.769294053104,68.2307059468959
"78","MA","Leominster-Fitchburg-Gardner, MA",60,31.7,"1.332","1.29",26.3232617317269,75.7939570390361,44.2060429609639
"79","OR","Corvallis, OR",40,6.8,"1.327","1.29",28.6468957539932,51.4587583015973,28.5412416984027
"80","OH","Canton-Massillon, OH",220,8.7,"1.325","1.29",20.073168281269,264.160970218792,175.839029781208
"81","WI","Fond du Lac, WI",60,12.2,"1.324","1.29",26.3232617317269,75.7939570390361,44.2060429609639
"82","FL","Deltona-Daytona Beach-Ormond Beach, FL",200,12.2,"1.319","1.28",20.4763087201446,240.952617440289,159.047382559711
"83","ME","Bangor, ME",80,10.4,"1.319","1.28",24.78984272384,99.831874179072,60.168125820928
"84","RI","Providence-Fall River-Warwick, RI-MA",710,5,"1.315","1.28",15.7201865408755,821.613324440216,598.386675559784
"85","LA","Monroe, LA",100,4,"1.308","1.27",23.6622187509264,123.662218750926,76.3377812490736
"86","GA","Rome, GA",50,25,"1.304","1.27",27.3438247034175,63.6719123517087,36.3280876482913
"87","CT","Bridgeport-Stamford-Norwalk, CT",540,5.6,"1.295","1.26",16.643949068556,629.877324970202,450.122675029798
"88","NJ","Trenton-Ewing, NJ",280,15.6,"1.29","1.25",19.0882019550231,333.446965474065,226.553034525935
"89","CT","Danbury, CT",90,20.4,"1.284","1.25",24.188104503449,111.769294053104,68.2307059468959
"90","PA","State College, PA",80,10.6,"1.283","1.25",24.78984272384,99.831874179072,60.168125820928
"91","WV","Morgantown, WV",80,7.2,"1.278","1.24",24.78984272384,99.831874179072,60.168125820928
"92","PA","Pittsburgh, PA",1440,9.4,"1.275","1.24",13.5639647170944,1635.32109192616,1244.67890807384
"93","VA","Virginia Beach-Norfolk-Newport News, VA-NC",920,8.9,"1.272","1.24",14.892949072107,1057.01513146338,782.984868536616
"94","ME","Portland-South Portland-Biddeford, ME",250,6.6,"1.272","1.24",19.544895929558,298.862239823895,201.137760176105
"95","IL","Kankakee-Bradley, IL",50,37.5,"1.271","1.23",27.3438247034175,63.6719123517087,36.3280876482913
"96","TN","Morristown, TN",60,9.6,"1.269","1.23",26.3232617317269,75.7939570390361,44.2060429609639
"97","SC","Anderson, SC",80,12,"1.268","1.23",24.78984272384,99.831874179072,60.168125820928
"98","MA","Barnstable Town, MA",120,9,"1.267","1.23",22.7790656241357,147.334878748963,92.6651212510371
"99","SC","Greenville-Mauldin-Easley, SC",380,8.6,"1.266","1.23",17.9099919224719,448.057969305393,311.942030694607
"100","NH","Nashua, NH-MA NECTA Division",170,5.8,"1.266","1.23",21.182488376631,206.010230240273,133.989769759727
"101","VA","Richmond, VA",770,3.6,"1.265","1.23",15.456358247144,889.013958503009,650.986041496991
"102","NC","Raleigh-Cary, NC",670,9.6,"1.258","1.22",15.9115222610126,776.607199148784,563.392800851216
"103","TN","Cleveland, TN",50,8.1,"1.243","1.21",27.3438247034175,63.6719123517087,36.3280876482913
"104","OH","Cleveland-Elyria-Mentor, OH",1250,13.5,"1.241","1.21",13.9703556850812,1424.62944606351,1075.37055393649
"105","MO","Springfield, MO",230,18.8,"1.241","1.21",19.8878711153629,275.742103565335,184.257896434665
"106","VA","Harrisonburg, VA",70,0,"1.241","1.21",25.4901630608888,87.8431141426221,52.1568858573779
"107","TX","El Paso, TX",350,6.1,"1.234","1.2",18.2199304470478,413.769756564667,286.230243435333
"108","NC","Greenville, NC",90,8.4,"1.229","1.19",24.188104503449,111.769294053104,68.2307059468959
"109","TX","Brownsville-Harlingen, TX",160,2.8,"1.223","1.19",21.4521080242023,194.323372838724,125.676627161276
"110","ID","Pocatello, ID",40,8,"1.221","1.19",28.6468957539932,51.4587583015973,28.5412416984027
"111","MD","Baltimore-Towson, MD",1560,3.9,"1.218","1.18",13.3393369765474,1768.09365683414,1351.90634316586
"112","WV","Parkersburg-Marietta-Vienna, WV-OH",80,13.1,"1.215","1.18",24.78984272384,99.831874179072,60.168125820928
"113","TN","Clarksville, TN-KY",100,7.7,"1.212","1.18",23.6622187509264,123.662218750926,76.3377812490736
"114","TX","Killeen-Temple-Fort Hood, TX",160,11.6,"1.211","1.18",21.4521080242023,194.323372838724,125.676627161276
"115","GA","Albany, GA",70,13.9,"1.202","1.17",25.4901630608888,87.8431141426221,52.1568858573779
"116","IL","Decatur, IL",60,15.2,"1.198","1.16",26.3232617317269,75.7939570390361,44.2060429609639
"117","KY","Lexington-Fayette, KY",300,5.1,"1.192","1.16",18.8154150581874,356.446245174562,243.553754825438
"118","OH","Toledo, OH",350,11.6,"1.19","1.16",18.2199304470478,413.769756564667,286.230243435333
"119","UT","Logan, UT-ID",60,20.1,"1.183","1.15",26.3232617317269,75.7939570390361,44.2060429609639
"120","NJ","Newark-Union, NJ-PA Metropolitan Division",1130,13.2,"1.179","1.15",14.2676363091687,1291.22429029361,968.775709706394
"121","MA","Brockton-Bridgewater-Easton, MA NECTA Division",110,6.9,"1.178","1.14",23.1963536683867,135.515989035225,84.4840109647747
"122","AL","Anniston-Oxford, AL",50,13.8,"1.175","1.14",27.3438247034175,63.6719123517087,36.3280876482913
"123","TN","Jackson, TN",70,10.6,"1.174","1.14",25.4901630608888,87.8431141426221,52.1568858573779
"124","MS","Hattiesburg, MS",70,8,"1.173","1.14",25.4901630608888,87.8431141426221,52.1568858573779
"125","NC","Rocky Mount, NC",60,5.4,"1.173","1.14",26.3232617317269,75.7939570390361,44.2060429609639
"126","IN","Lafayette, IN",100,44.5,"1.171","1.14",23.6622187509264,123.662218750926,76.3377812490736
"127","WA","Spokane, WA",230,4.5,"1.17","1.14",19.8878711153629,275.742103565335,184.257896434665
"128","IL","Champaign-Urbana, IL",110,15.6,"1.164","1.13",23.1963536683867,135.515989035225,84.4840109647747
"129","AR","Fort Smith, AR-OK",130,7.4,"1.161","1.13",22.401830048134,159.122379062574,100.877620937426
"130","TX","Abilene, TX",70,12.4,"1.155","1.12",25.4901630608888,87.8431141426221,52.1568858573779
"131","NH","Manchester, NH",120,7.1,"1.145","1.11",22.7790656241357,147.334878748963,92.6651212510371
"132","NC","Greensboro-High Point, NC",390,4.1,"1.139","1.11",17.8131955779554,459.471462754026,320.528537245974
"133","VA","Charlottesville, VA",110,7.2,"1.139","1.11",23.1963536683867,135.515989035225,84.4840109647747
"134","NY","Binghamton, NY",120,4,"1.138","1.11",22.7790656241357,147.334878748963,92.6651212510371
"135","WI","La Crosse, WI-MN",80,11.5,"1.136","1.1",24.78984272384,99.831874179072,60.168125820928
"136","WA","Yakima, WA",90,4.2,"1.132","1.1",24.188104503449,111.769294053104,68.2307059468959
"137","AR","Little Rock-North Little Rock-Conway, AR",380,9.3,"1.129","1.1",17.9099919224719,448.057969305393,311.942030694607
"138","AL","Montgomery, AL",180,3.9,"1.128","1.1",20.9313885726946,217.67649943085,142.32350056915
"139","IN","Terre Haute, IN",70,9.1,"1.124","1.09",25.4901630608888,87.8431141426221,52.1568858573779
"140","NJ","Ocean City, NJ",40,18.8,"1.124","1.09",28.6468957539932,51.4587583015973,28.5412416984027
"141","VA","Roanoke, VA",170,11.1,"1.118","1.09",21.182488376631,206.010230240273,133.989769759727
"142","VA","Blacksburg-Christiansburg-Radford, VA",70,9.9,"1.117","1.09",25.4901630608888,87.8431141426221,52.1568858573779
"143","TX","Wichita Falls, TX",60,4.1,"1.116","1.08",26.3232617317269,75.7939570390361,44.2060429609639
"144","MO","Columbia, MO",100,16.8,"1.112","1.08",23.6622187509264,123.662218750926,76.3377812490736
"145","NC","Winston-Salem, NC",230,13.1,"1.111","1.08",19.8878711153629,275.742103565335,184.257896434665
"146","LA","Baton Rouge, LA",410,3.2,"1.105","1.07",17.6283049931218,482.276050471799,337.723949528201
"147","AL","Tuscaloosa, AL",100,20.3,"1.102","1.07",23.6622187509264,123.662218750926,76.3377812490736
"148","ME","Lewiston-Auburn, ME",50,21.3,"1.102","1.07",27.3438247034175,63.6719123517087,36.3280876482913
"149","MA","New Bedford, MA",70,29.9,"1.1","1.07",25.4901630608888,87.8431141426221,52.1568858573779
"150","AZ","Prescott, AZ",60,32.8,"1.096","1.06",26.3232617317269,75.7939570390361,44.2060429609639
"151","IL","Chicago-Joliet-Naperville, IL Metropolitan Division",4050,10.3,"1.094","1.06",10.9318235602739,4492.73885419109,3607.26114580891
"152","WA","Tacoma, WA Metropolitan Division",290,6.6,"1.093","1.06",18.9489657869872,344.952000782263,235.047999217737
"153","CO","Boulder, CO",180,4.8,"1.091","1.06",20.9313885726946,217.67649943085,142.32350056915
"154","CA","Yuba City, CA",40,23.8,"1.089","1.06",28.6468957539932,51.4587583015973,28.5412416984027
"155","NJ","Camden, NJ Metropolitan Division",550,10.2,"1.088","1.06",16.5803549178391,641.191952048115,458.808047951885
"156","AR","Fayetteville-Springdale-Rogers, AR-MO",230,3.6,"1.086","1.06",19.8878711153629,275.742103565335,184.257896434665
"157","DE","Wilmington, DE-MD-NJ Metropolitan Division",350,5.6,"1.081","1.05",18.2199304470478,413.769756564667,286.230243435333
"158","CO","Fort Collins-Loveland, CO",150,1,"1.079","1.05",21.7429065502564,182.614359825385,117.385640174615
"159","MI","Monroe, MI",40,13.3,"1.075","1.04",28.6468957539932,51.4587583015973,28.5412416984027
"160","HI","Honolulu, HI",470,3.1,"1.068","1.04",17.1330977933685,550.525559628832,389.474440371168
"161","SC","Florence, SC",90,4.6,"1.068","1.04",24.188104503449,111.769294053104,68.2307059468959
"162","MO","Cape Girardeau-Jackson, MO-IL",40,14.1,"1.068","1.04",28.6468957539932,51.4587583015973,28.5412416984027
"163","NM","Santa Fe, NM",60,5,"1.067","1.04",26.3232617317269,75.7939570390361,44.2060429609639
"164","FL","West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",560,4,"1.065","1.03",16.5181431317897,652.501601538023,467.498398461978
"165","VA","Winchester, VA-WV",60,45.2,"1.062","1.03",26.3232617317269,75.7939570390361,44.2060429609639
"166","MN","St. Cloud, MN",100,7.7,"1.06","1.03",23.6622187509264,123.662218750926,76.3377812490736
"167","MA","Framingham, MA NECTA Division",170,10.6,"1.056","1.03",21.182488376631,206.010230240273,133.989769759727
"168","CA","San Francisco-San Mateo-Redwood City, CA Metropolitan Division",1100,5.1,"1.05","1.02",14.3479556824716,1257.82751250719,942.172487492813
"169","PA","Scranton--Wilkes-Barre, PA",260,13.9,"1.05","1.02",19.3856202915816,310.402612758112,209.597387241888
"170","NE","Omaha-Council Bluffs, NE-IA",480,5,"1.049","1.02",17.0580079829849,561.878438318328,398.121561681672
"171","LA","Lake Charles, LA",90,0,"1.045","1.01",24.188104503449,111.769294053104,68.2307059468959
"172","MA","Peabody, MA NECTA Division",110,14.7,"1.04","1.01",23.1963536683867,135.515989035225,84.4840109647747
"173","SD","Rapid City, SD",60,1.1,"1.039","1.01",26.3232617317269,75.7939570390361,44.2060429609639
"174","NY","New York-White Plains-Wayne, NY-NJ Metropolitan Division",5440,5.9,"1.038","1.01",10.2791687471329,5999.18677984403,4880.81322015597
"175","TX","Amarillo, TX",110,5.6,"1.038","1.01",23.1963536683867,135.515989035225,84.4840109647747
"176","KY","Elizabethtown, KY",50,4.9,"1.037","1.01",27.3438247034175,63.6719123517087,36.3280876482913
"177","WI","Janesville, WI",60,10.1,"1.035","1",26.3232617317269,75.7939570390361,44.2060429609639
"178","NC","Asheville, NC",180,4.8,"1.033","1",20.9313885726946,217.67649943085,142.32350056915
"179","IA","Davenport-Moline-Rock Island, IA-IL",190,15.3,"1.031","1",20.696608577694,229.323556297619,150.676443702381
"180","IN","Kokomo, IN",40,4.8,"1.031","1",28.6468957539932,51.4587583015973,28.5412416984027
"181","MO","Kansas City, MO-KS",1020,7.9,"1.03","1",14.5757704013414,1168.67285809368,871.327141906317
"182","AL","Gadsden, AL",40,12.4,"1.029","1",28.6468957539932,51.4587583015973,28.5412416984027
"183","PA","Philadelphia, PA Metropolitan Division",1890,7,"1.028","1",12.8158562637506,2132.21968338489,1647.78031661511
"184","OK","Oklahoma City, OK",610,16.1,"1.028","1",16.2260324781294,708.978798116589,511.021201883411
"185","TX","Austin-Round Rock-San Marcos, TX",880,5.4,"1.026","1",15.0317080794958,1012.27903109956,747.720968900437
"186","UT","Provo-Orem, UT",190,7.6,"1.025","1",20.696608577694,229.323556297619,150.676443702381
"187","MO","St. Louis, MO-IL",1320,5.7,"1.024","0.99",13.812441998932,1502.3242343859,1137.6757656141
"188","IN","Indianapolis-Carmel, IN",930,10.2,"1.024","0.99",14.8593962042751,1068.19238469976,791.807615300241
"189","GA","Augusta-Richmond County, GA-SC",210,6.6,"1.015","0.99",20.2689360173682,252.564765636473,167.435234363527
"190","TN","Nashville-Davidson--Murfreesboro--Franklin, TN",800,3.9,"1.014","0.99",15.3335981103721,922.668784882977,677.331215117023
"191","VT","Burlington-South Burlington, VT",120,19,"1.011","0.98",22.7790656241357,147.334878748963,92.6651212510371
"192","SC","Charleston-North Charleston-Summerville, SC",300,3.2,"1.009","0.98",18.8154150581874,356.446245174562,243.553754825438
"193","MT","Missoula, MT",60,6.6,"1.009","0.98",26.3232617317269,75.7939570390361,44.2060429609639
"194","FL","Lakeland-Winter Haven, FL",200,3.4,"1.007","0.98",20.4763087201446,240.952617440289,159.047382559711
"195","WA","Seattle-Bellevue-Everett, WA Metropolitan Division",1460,5.3,"1.005","0.98",13.5249878507601,1657.4648226211,1262.5351773789
"196","GA","Warner Robins, GA",60,10.6,"1.005","0.98",26.3232617317269,75.7939570390361,44.2060429609639
"197","TX","Sherman-Denison, TX",40,11.2,"1.004","0.98",28.6468957539932,51.4587583015973,28.5412416984027
"198","NC","Goldsboro, NC",40,16.8,"1.004","0.97",28.6468957539932,51.4587583015973,28.5412416984027
"199","MA","Lowell-Billerica-Chelmsford, MA-NH NECTA Division",120,10.2,"1.003","0.97",22.7790656241357,147.334878748963,92.6651212510371
"200","MN","Mankato-North Mankato, MN",50,32,"1.002","0.97",27.3438247034175,63.6719123517087,36.3280876482913
"201","NC","Jacksonville, NC",40,3.7,"1.001","0.97",28.6468957539932,51.4587583015973,28.5412416984027
"202","KS","Wichita, KS",280,15.1,"0.998","0.97",19.0882019550231,333.446965474065,226.553034525935
"203","OR","Salem, OR",140,8.8,"0.995","0.97",22.0581363757847,170.881390926099,109.118609073901
"204","MS","Gulfport-Biloxi, MS",100,6.3,"0.995","0.97",23.6622187509264,123.662218750926,76.3377812490736
"205","FL","Pensacola-Ferry Pass-Brent, FL",150,4.6,"0.994","0.97",21.7429065502564,182.614359825385,117.385640174615
"206","IL","Springfield, IL",100,18.5,"0.993","0.96",23.6622187509264,123.662218750926,76.3377812490736
"207","NC","Charlotte-Gastonia-Rock Hill, NC-SC",870,2.2,"0.989","0.96",15.0675919261205,1001.08804975725,738.911950242751
"208","GA","Gainesville, GA",70,6.9,"0.989","0.96",25.4901630608888,87.8431141426221,52.1568858573779
"209","IA","Sioux City, IA-NE-SD",70,18.3,"0.988","0.96",25.4901630608888,87.8431141426221,52.1568858573779
"210","NY","Buffalo-Niagara Falls, NY",530,9.1,"0.987","0.96",16.7089827674699,618.55760866759,441.44239133241
"211","CO","Colorado Springs, CO",240,3.9,"0.987","0.96",19.7120644089209,287.30895458141,192.69104541859
"212","AZ","Flagstaff, AZ",60,7.7,"0.984","0.96",26.3232617317269,75.7939570390361,44.2060429609639
"213","CA","Santa Cruz-Watsonville, CA",80,8.3,"0.98","0.95",24.78984272384,99.831874179072,60.168125820928
"214","TX","Waco, TX",100,4.6,"0.978","0.95",23.6622187509264,123.662218750926,76.3377812490736
"215","GA","Atlanta-Sandy Springs-Marietta, GA",2250,6.6,"0.975","0.95",12.358052574074,2528.05618291666,1971.94381708334
"216","PA","Reading, PA",160,10.2,"0.972","0.94",21.4521080242023,194.323372838724,125.676627161276
"217","OH","Cincinnati-Middletown, OH-KY-IN",970,6,"0.971","0.94",14.7294177251343,1112.8753519338,827.124648066198
"218","NC","Hickory-Lenoir-Morganton, NC",140,6.1,"0.971","0.94",22.0581363757847,170.881390926099,109.118609073901
"219","MT","Billings, MT",80,7.9,"0.97","0.94",24.78984272384,99.831874179072,60.168125820928
"220","TX","Fort Worth-Arlington, TX Metropolitan Division",880,13.9,"0.969","0.94",15.0317080794958,1012.27903109956,747.720968900437
"221","AL","Mobile, AL",160,22.8,"0.968","0.94",21.4521080242023,194.323372838724,125.676627161276
"222","TX","San Antonio-New Braunfels, TX",860,1.8,"0.967","0.94",15.1039777784069,989.8942088943,730.1057911057
"223","CA","Merced, CA",60,31.1,"0.966","0.94",26.3232617317269,75.7939570390361,44.2060429609639
"224","IN","Gary, IN Metropolitan Division",260,14.6,"0.964","0.94",19.3856202915816,310.402612758112,209.597387241888
"225","ND","Fargo, ND-MN",120,7.3,"0.964","0.94",22.7790656241357,147.334878748963,92.6651212510371
"226","TX","Laredo, TX",90,8.9,"0.962","0.93",24.188104503449,111.769294053104,68.2307059468959
"227","TN","Memphis, TN-MS-AR",570,3.5,"0.961","0.93",16.4572597686305,663.806380681194,476.193619318806
"228","WA","Kennewick-Pasco-Richland, WA",90,5.5,"0.96","0.93",24.188104503449,111.769294053104,68.2307059468959
"229","OR","Portland-Vancouver-Hillsboro, OR-WA",980,6.3,"0.957","0.93",14.6979332597923,1124.03974594597,835.960254054035
"230","ID","Idaho Falls, ID",50,29.3,"0.955","0.93",27.3438247034175,63.6719123517087,36.3280876482913
"231","AK","Fairbanks, AK",30,0,"0.955","0.93",30.418899511963,39.1256698535889,20.8743301464111
"232","MD","Hagerstown-Martinsburg, MD-WV",100,6,"0.954","0.93",23.6622187509264,123.662218750926,76.3377812490736
"233","TX","College Station-Bryan, TX",90,26.5,"0.953","0.93",24.188104503449,111.769294053104,68.2307059468959
"234","CO","Pueblo, CO",50,1.1,"0.952","0.92",27.3438247034175,63.6719123517087,36.3280876482913
"235","VA","Danville, VA",40,24,"0.951","0.92",28.6468957539932,51.4587583015973,28.5412416984027
"236","IA","Waterloo-Cedar Falls, IA",90,11.9,"0.95","0.92",24.188104503449,111.769294053104,68.2307059468959
"237","IA","Cedar Rapids, IA",130,15.1,"0.949","0.92",22.401830048134,159.122379062574,100.877620937426
"238","AR","Pine Bluff, AR",30,3,"0.935","0.91",30.418899511963,39.1256698535889,20.8743301464111
"239","TN","Johnson City, TN",70,11.3,"0.929","0.9",25.4901630608888,87.8431141426221,52.1568858573779
"240","ID","Boise City-Nampa, ID",250,11.4,"0.927","0.9",19.544895929558,298.862239823895,201.137760176105
"241","OR","Eugene-Springfield, OR",130,9.2,"0.926","0.9",22.401830048134,159.122379062574,100.877620937426
"242","TX","Beaumont-Port Arthur, TX",140,8.3,"0.925","0.9",22.0581363757847,170.881390926099,109.118609073901
"243","WY","Cheyenne, WY",40,0,"0.922","0.9",28.6468957539932,51.4587583015973,28.5412416984027
"244","OH","Columbus, OH",860,23.5,"0.917","0.89",15.1039777784069,989.8942088943,730.1057911057
"245","PA","Allentown-Bethlehem-Easton, PA-NJ",310,9.4,"0.916","0.89",18.6871393697608,367.930132046259,252.069867953741
"246","MN","Duluth, MN-WI",110,21,"0.916","0.89",23.1963536683867,135.515989035225,84.4840109647747
