date,position,city,state,endorser,endorsee,endorser party,source,order,category,body,district,points
2019-02-20,DNC member,,TX,Emmy Ruiz,Kamala Harris,D,https://www.politico.com/story/2019/02/20/kamala-harris-2020-staff-1176679,,DNC members,,,1
2019-02-20,DNC member,,DC,Larry Cohen,Bernie Sanders,D,https://www.independent.co.uk/voices/bernie-sanders-2020-election-campaign-trump-democrat-candidate-race-a8788596.html,,DNC members,,,1
2019-02-20,mayor,San Juan,PR,Carmen Yulín Cruz,Bernie Sanders,D,https://twitter.com/CarmenYulinCruz/status/1098257728902819842,55,Mayors,,,3
2019-02-21,DNC member,,OH,Nina Turner,Bernie Sanders,D,https://www.cleveland.com/politics/2019/02/former-ohio-sen-nina-turner-to-serve-as-co-chair-of-bernie-sanders-campaign.html,,DNC members,,,1
2019-02-21,DNC member,,NJ,John Currie,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,DNC members,,,1
2019-02-21,lieutenant governor,,NJ,Sheila Oliver,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,134,Statewide officeholders,,,2
2019-02-21,president,,NJ,Stephen Sweeney,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,State legislative leaders,Senate,,2
2019-02-21,speaker,,NJ,Craig Coughlin,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,State legislative leaders,General Assembly,,2
2019-02-21,representative,,NJ,Bonnie Watson Coleman,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,12,3
2019-02-21,representative,,NJ,Mikie Sherrill,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,11,3
2019-02-21,representative,,NJ,Donald Payne Jr.,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,10,3
2019-02-21,representative,,NJ,Bill Pascrell Jr.,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,9,3
2019-02-21,representative,,NJ,Albio Sires,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,8,3
2019-02-21,representative,,NJ,Tom Malinowski,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,7,3
2019-02-21,representative,,NJ,Frank Pallone Jr.,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,6,3
2019-02-21,representative,,NJ,Josh Gottheimer,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,5,3
2019-02-21,representative,,NJ,Andy Kim,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,3,3
2019-02-21,representative,,NJ,Jeff Van Drew,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,2,3
2019-02-21,representative,,NJ,Donald Norcross,Cory Booker,D,https://medium.com/@corybooker/50-nj-democrats-endorse-cory-booker-for-president-9eefb60c72d2,,Representatives,,1,3
2019-02-21,representative,,CA,Ro Khanna,Bernie Sanders,D,https://www.sfchronicle.com/politics/article/Bernie-Sanders-enlists-Ro-Khanna-for-presidential-13635537.php,,Representatives,,17,3
2019-02-26,superintendent of public instruction,,CA,Tony Thurmond,Kamala Harris,D,https://www.politico.com/amp/story/2019/02/26/kamala-harris-california-1186389,25,Statewide officeholders,,,2
2019-02-26,insurance commissioner,,CA,Ricardo Lara,Kamala Harris,D,https://www.politico.com/amp/story/2019/02/26/kamala-harris-california-1186389,24,Statewide officeholders,,,2
2019-02-26,secretary of state,,CA,Alex Padilla,Kamala Harris,D,https://www.politico.com/amp/story/2019/02/26/kamala-harris-california-1186389,20,Statewide officeholders,,,2
2019-02-26,senator,,DE,Christopher A. Coons,Joe Biden,D,https://www.breitbart.com/clips/2019/02/26/coons-i-absolutely-will-endorse-biden-if-he-runs/,,Senators,,,6
2019-02-27,representative,,CA,Juan Vargas,John Delaney,D,https://twitter.com/danielmarans/status/1100868238085406720,,Representatives,,51,3
2019-02-28,representative,,CA,Julia Brownley,Kamala Harris,D,https://www.nbclosangeles.com/news/local/Rep-Julia-Brownley-Endorses-Kamala-Harris-for-President-506459851.html,,Representatives,,26,3
2019-03-01,attorney general,,WA,Bob Ferguson,Jay Inslee,D,https://www.thestranger.com/slog/2019/03/01/39403537/jay-inslee-announces-his-run-for-president,216,Statewide officeholders,,,2
2019-03-01,representative,,WA,Rick Larsen,Jay Inslee,D,https://www.seattlepi.com/local/politics/article/Inslee-Running-president-climate-change-campaign-13656077.php,,Representatives,,2,3
2019-03-07,attorney general,,DC,Karl Racine,Kamala Harris,D,https://www.washingtonpost.com/local/dc-politics/dc-attorney-general-karl-racine-endorses-kamala-harris-for-president/2019/03/07/bd43b860-40e2-11e9-9361-301ffb5bd5e6_story.html?utm_term=.4ebee8be575d,236,Statewide officeholders,,,2
2019-03-07,mayor,Long Beach,CA,Robert Garcia,Kamala Harris,D,https://www.mercurynews.com/2019/03/07/kamala-harris-california-mayors-liccardo-breed-endorsement/,38,Mayors,,,3
2019-03-07,mayor,Sacramento,CA,Darrell Steinberg,Kamala Harris,D,https://www.mercurynews.com/2019/03/07/kamala-harris-california-mayors-liccardo-breed-endorsement/,34,Mayors,,,3
2019-03-07,mayor,Denver,CO,Michael Hancock,John Hickenlooper,D,https://www.cnn.com/2019/03/07/politics/hickenlooper-2020-launch/index.html,19,Mayors,,,3
2019-03-07,mayor,San Jose,CA,Sam Liccardo,Kamala Harris,D,https://www.mercurynews.com/2019/03/07/kamala-harris-california-mayors-liccardo-breed-endorsement/,10,Mayors,,,3
2019-03-11,representative,,TX,Vicente Gonzalez,Julian Castro,D,https://www.dallasnews.com/news/elections-2020/2019/03/11/2-texas-dems-castro-orourke-likely-white-house-race-will-texans-congress-back,,Representatives,,15,3
2019-03-14,speaker pro tem,,TX,Joe Moody,Beto O'Rourke,D,https://twitter.com/moodyforelpaso/status/1106195542810546179,,State legislative leaders,House,,2
2019-03-14,representative,,TX,Veronica Escobar,Beto O'Rourke,D,https://www.texastribune.org/2019/03/14/beto-orourke-4-members-congress-endorse-within-hours/,,Representatives,,16,3
2019-03-14,representative,,NY,Sean Patrick Maloney,Beto O'Rourke,D,https://twitter.com/scottwongDC/status/1106285969530126337,,Representatives,,18,3
2019-03-14,representative,,NY,Kathleen Rice,Beto O'Rourke,D,https://twitter.com/KathleenRice/status/1106178817335455744,,Representatives,,4,3
2019-03-14,representative,,FL,Stephanie Murphy,Beto O'Rourke,D,https://twitter.com/SMurphyCongress/status/1106234016477446145?s=19,,Representatives,,7,3
2019-03-17,representative,,NY,Carolyn Maloney,Kirsten Gillibrand,D,https://twitter.com/carolynbmaloney/status/1107390398459248640?s=21,,Representatives,,12,3
2019-03-25,DNC member,,CA,Susie A. Shannon,Bernie Sanders,D,https://projects.fivethirtyeight.com/endorsements-2020-data/susie_shannon_endorsement.png,,DNC members,,,1
2019-04-11,former DNC chair,,MA,Steven Grossman,Pete Buttigieg,D,https://www.bostonglobe.com/metro/2019/04/11/buttigieg-campaign-getting-massachusetts-boost-from-grossman/lIQcax0i192wQlJoTxikqO/story.html,,Former party leaders,,,5
2019-04-12,DNC member,,NJ,Bernadette P. McPherson,Cory Booker,D,https://newjerseyglobe.com/national/two-dnc-members-endorse-booker/,,DNC members,,,1
2019-04-12,DNC member,,NJ,John Graham,Cory Booker,D,https://newjerseyglobe.com/national/two-dnc-members-endorse-booker/,,DNC members,,,1
2019-04-14,DNC member,,OH,Nan Whaley,Pete Buttigieg,D,https://www.daytondailynews.com/news/local/dayton-mayor-nan-whaley-endorses-pete-buttigieg-for-president/MmyzVi4dDvKgpvuxJramKP/,,DNC members,,,1
2019-04-14,representative,,AZ,Ruben Gallego,Eric Swalwell,D,https://sanfrancisco.cbslocal.com/2019/04/14/eric-swalwell-presidential-campaign-rally-dublin/,,Representatives,,7,3
2019-04-14,mayor,Austin,TX,Steve Adler,Pete Buttigieg,D,https://www.kvue.com/article/news/politics/mayor-adler-endorses-pete-buttigieg-for-2020-democratic-run/269-613c4b0e-20ac-4891-80a6-37c7188e266b,11,Mayors,,,3
2019-04-18,DNC member,,PA,Michael A. Nutter,Joe Biden,D,https://www.bizjournals.com/philadelphia/news/2019/04/18/prominent-phila-dems-plan-biden-fundraiser.html,,DNC members,,,1
2019-04-18,DNC member,,MI,Michelle Deatrick,Bernie Sanders,D,https://www.detroitnews.com/story/news/politics/2019/04/19/early-presidential-fundraising-michigan-donors/3505825002/,,DNC members,,,1
2019-04-19,DNC member,,MA,Kate Donaghue,Elizabeth Warren,D,https://projects.fivethirtyeight.com/endorsements-2020-data/kate_donaghue_endorsement.png,,DNC members,,,1
2019-04-22,representative,,MA,Stephen F. Lynch,Joe Biden,D,https://twitter.com/hillarychabot/status/1120345230455255041,,Representatives,,8,3
2019-04-22,former DNC chair,,PA,Ed Rendell,Joe Biden,D,https://www.post-gazette.com/news/politics-local/2019/04/22/Joe-Biden-plans-Pittsburgh-rally-presidential-announcement-candidacy-Democrat/stories/201904220086?utm_medium=social&utm_source=twitter_PittsburghPG,,Former party leaders,,,5
2019-04-24,representative,,VA,Don Beyer,Pete Buttigieg,D,https://www.washingtonpost.com/local/virginia-politics/buttigieg-gets-first-endorsement-from-member-of-congress-rep-don-beyer-of-va/2019/04/24/8f42be3c-66c3-11e9-8985-4cf30147bdca_story.html?utm_term=.7efcd3bf07bf,,Representatives,,8,3
2019-04-24,representative,,PA,Matt Cartwright,Joe Biden,D,http://www.politicspa.com/boyle-cartwright-and-evans-back-biden/91028/,,Representatives,,8,3
2019-04-25,DNC member,,DC,Symone Sanders,Joe Biden,D,https://apnews.com/2572f844ea074460a2f95243c433f9bc,,DNC members,,,1
2019-04-25,DNC member,,DC,Cristobal J. Alex,Joe Biden,D,https://twitter.com/cristobaljalex/status/1121364035528687616?s=21,,DNC members,,,1
2019-04-25,attorney general,,DE,Kathy Jennings,Joe Biden,D,https://www.facebook.com/149727352405928/posts/323362398375755?s=100000461722748&v=i&sfns=mo,36,Statewide officeholders,,,2
2019-04-25,representative,,PA,Dwight Evans,Joe Biden,D,http://www.politicspa.com/boyle-cartwright-and-evans-back-biden/91028/,,Representatives,,3,3
2019-04-25,representative,,PA,Brendan Boyle,Joe Biden,D,https://twitter.com/lauraolson/status/1121449705102348289,,Representatives,,2,3
2019-04-25,representative,,NY,Thomas Suozzi,Joe Biden,D,https://twitter.com/Tom_Suozzi/status/1121379897874767874,,Representatives,,3,3
2019-04-25,representative,,LA,Cedric Richmond,Joe Biden,D,https://www.vox.com/policy-and-politics/2019/4/28/18521515/joe-biden-support-electability-cedric-richmond-james-clyburn-anita-hill,,Representatives,,2,3
2019-04-25,representative,,DE,Lisa Blunt Rochester,Joe Biden,D,https://twitter.com/benyc/status/1121369759550005249?s=19,,Representatives,,0,3
2019-04-25,senator,,PA,Robert P. Casey Jr.,Joe Biden,D,https://twitter.com/JTHVerhovek/status/1121363322526470144,,Senators,,,6
2019-04-25,senator,,AL,Doug Jones,Joe Biden,D,https://twitter.com/dougjones/status/1121381353117843456,,Senators,,,6
2019-04-25,governor,,DE,John Carney,Joe Biden,D,https://www.instagram.com/p/Bwri44glSkb/,,Governors,,,8
2019-04-26,past presidential nominee,,MA,Michael Dukakis,Elizabeth Warren,D,https://www.wbur.org/news/2019/04/26/dukakis-biden-2020-campaign,8,Past nominees,,,5
2019-05-03,representative,,VA,A. Donald McEachin,Joe Biden,D,https://www.usatoday.com/story/news/politics/2019/05/03/2020-candidates-courting-congressional-black-caucus-members/3645701002/,,Representatives,,4,3
2019-05-09,DNC member,,DC,Jeff Berman,Beto O'Rourke,D,https://www.apnews.com/1a1ef23fd3f74457b59c1441465954c7,,DNC members,,,1
2019-05-12,state controller,,NV,Catherine Byrne,Elizabeth Warren,D,https://twitter.com/meganmesserly/status/1127732368779800576,133,Statewide officeholders,,,2
2019-05-14,representative,,TX,Filemon Vela,Joe Biden,D,https://twitter.com/heatherscope/status/1128390149115666433,,Representatives,,34,3
2019-05-16,attorney general,,IA,Tom Miller,Steve Bullock,D,https://www.cnn.com/2019/05/16/politics/bullock-endorsement-iowa-ag/index.html,71,Statewide officeholders,,,2
2019-05-20,former U.S. Senate majority leader,,SD,Tom Daschle,Joe Biden,D,https://www.cnbc.com/video/2019/05/20/a-lot-of-promise-in-cannabis-says-former-senate-majority-leader-tom-daschle.html,,Former party leaders,,,5
2019-05-29,mayor,Dallas,TX,Mike Rawlings,Joe Biden,D,https://www.dallasnews.com/news/politics/2019/05/29/dallas-mayor-mike-rawlings-endorsesjoe-biden-president-spurning-beto-orourke-julian-castro,9,Mayors,,,3
,DNC member,,NY,Ai-Jen Poo,,D,,,DNC members,,,1
,DNC member,,OH,Ronald L. Malone,,D,,,DNC members,,,1
,DNC member,,OH,Mark Mallory,,D,,,DNC members,,,1
,DNC member,,OH,Rebecca L. Higgins,,D,,,DNC members,,,1
,DNC member,,OH,Isabel Framer,,D,,,DNC members,,,1
,DNC member,,OH,Tim Burga,,D,,,DNC members,,,1
,DNC member,,NY,Robert Zimmerman,,D,,,DNC members,,,1
,DNC member,,NY,Randi Weingarten,,D,,,DNC members,,,1
,DNC member,,NY,Gerard J. Sweeney,,D,,,DNC members,,,1
,DNC member,,NY,Michael Reich,,D,,,DNC members,,,1
,DNC member,,NY,Christine Quinn,,D,,,DNC members,,,1
,DNC member,,OH,Valarie J. McCall,,D,,,DNC members,,,1
,DNC member,,NY,Christopher Lowe,,D,,,DNC members,,,1
,DNC member,,NY,Charlie King,,D,,,DNC members,,,1
,DNC member,,NY,Jay S. Jacobs,,D,,,DNC members,,,1
,DNC member,,NY,Emily Giske,,D,,,DNC members,,,1
,DNC member,,NY,Hector Figueroa,,D,,,DNC members,,,1
,DNC member,,NY,Hazel Duke,,D,,,DNC members,,,1
,DNC member,,NY,Jennifer Cunningham,,D,,,DNC members,,,1
,DNC member,,NY,Vivian Cook,,D,,,DNC members,,,1
,DNC member,,NY,Maria Cuomo Cole,,D,,,DNC members,,,1
,DNC member,,NY,Stuart H. Appelbaum,,D,,,DNC members,,,1
,DNC member,,NV,Allison A. Stephens,,D,,,DNC members,,,1
,DNC member,,NV,Marty McGarry,,D,,,DNC members,,,1
,DNC member,,NV,William McCurdy II,,D,,,DNC members,,,1
,DNC member,,NV,Alex Goff,,D,,,DNC members,,,1
,DNC member,,NV,Artie Blanco,,D,,,DNC members,,,1
,DNC member,,NM,Raymond Sanchez,,D,,,DNC members,,,1
,DNC member,,NM,Marcus Porter,,D,,,DNC members,,,1
,DNC member,,NM,Joni Marie Gutierrez,,D,,,DNC members,,,1
,DNC member,,NM,Marg Elliston,,D,,,DNC members,,,1
,DNC member,,NJ,Marguerite M. Schaffer,,D,,,DNC members,,,1
,DNC member,,NJ,George E. Norcross III,,D,,,DNC members,,,1
,DNC member,,NJ,Marcia Marley,,D,,,DNC members,,,1
,DNC member,,NJ,Tonio Burgos,,D,,,DNC members,,,1
,DNC member,,NH,Kathleen Sullivan,,D,,,DNC members,,,1
,DNC member,,NH,William H. Shaheen,,D,,,DNC members,,,1
,DNC member,,NH,Martha Fuller Clark,,D,,,DNC members,,,1
,DNC member,,NH,Raymond C. Buckley II,,D,,,DNC members,,,1
,DNC member,,NE,Patricia A. Zieg,,D,,,DNC members,,,1
,DNC member,,NE,Frank D. LaMere,,D,,,DNC members,,,1
,DNC member,,NE,Jane Erin Fleming Kleeb,,D,,,DNC members,,,1
,DNC member,,NE,Ron Kaminski,,D,,,DNC members,,,1
,DNC member,,ND,Kylie Oversen,,D,,,DNC members,,,1
,DNC member,,ND,Patrick M. Hart,,D,,,DNC members,,,1
,DNC member,,ND,Ondine E. Baird,,D,,,DNC members,,,1
,DNC member,,NC,John R. Verdejo,,D,,,DNC members,,,1
,DNC member,,NC,Bobbie Richardson,,D,,,DNC members,,,1
,DNC member,,NC,Cliff Moone,,D,,,DNC members,,,1
,DNC member,,NC,Ray McKinnon,,D,,,DNC members,,,1
,DNC member,,NC,Shelia A. Huggins,,D,,,DNC members,,,1
,DNC member,,NC,Wayne Goodwin,,D,,,DNC members,,,1
,DNC member,,NC,Denise D. Adams,,D,,,DNC members,,,1
,DNC member,,MT,Mary Sexton,,D,,,DNC members,,,1
,DNC member,,MT,Jorge Quintana,,D,,,DNC members,,,1
,DNC member,,MT,Jean Lemire Dahlman,,D,,,DNC members,,,1
,DNC member,,MT,Bryce Bennett,,D,,,DNC members,,,1
,DNC member,,MS,Vicki R. Slater,,D,,,DNC members,,,1
,DNC member,,MS,Bobby Moak,,D,,,DNC members,,,1
,DNC member,,MS,Rae Shawn Davis,,D,,,DNC members,,,1
,DNC member,,MS,Will Colom,,D,,,DNC members,,,1
,DNC member,,MP,Michael A. White,,D,,,DNC members,,,1
,DNC member,,MP,Daniel O. Quitugua,,D,,,DNC members,,,1
,DNC member,,MP,Nola K. Hix,,D,,,DNC members,,,1
,DNC member,,MO,Curtis Wylde,,D,,,DNC members,,,1
,DNC member,,MO,Brian Wahby,,D,,,DNC members,,,1
,DNC member,,MO,Clem Smith,,D,,,DNC members,,,1
,DNC member,,MO,Megan E. Green,,D,,,DNC members,,,1
,DNC member,,MO,Persephone Dakopolos,,D,,,DNC members,,,1
,DNC member,,MO,Jean Peters Baker,,D,,,DNC members,,,1
,DNC member,,MO,Winston Apple,,D,,,DNC members,,,1
,DNC member,,MN,Elly Zaragoza,,D,,,DNC members,,,1
,DNC member,,MN,Lori A. Sellner,,D,,,DNC members,,,1
,DNC member,,MN,Suzie Nakasian,,D,,,DNC members,,,1
,DNC member,,MN,Ken Martin,,D,,,DNC members,,,1
,DNC member,,MN,Marge Hoffa,,D,,,DNC members,,,1
,DNC member,,MN,Ron Harris,,D,,,DNC members,,,1
,DNC member,,MN,Debbie Goettel,,D,,,DNC members,,,1
,DNC member,,MN,J.P. Barone,,D,,,DNC members,,,1
,DNC member,,MI,Alexis Wiley,,D,,,DNC members,,,1
,DNC member,,MI,Virgie M. Rollins,,D,,,DNC members,,,1
,DNC member,,MI,Daryl Newman,,D,,,DNC members,,,1
,DNC member,,MI,Mark LaChey,,D,,,DNC members,,,1
,DNC member,,MI,Paula Herbart,,D,,,DNC members,,,1
,DNC member,,MI,Barry J. Goodman,,D,,,DNC members,,,1
,DNC member,,MI,Cindy Estrada,,D,,,DNC members,,,1
,DNC member,,MI,Shauna Ryder Diggs,,D,,,DNC members,,,1
,DNC member,,MI,Scott Benson,,D,,,DNC members,,,1
,DNC member,,MI,Lavora R. Barnes,,D,,,DNC members,,,1
,DNC member,,ME,Kathleen Marra,,D,,,DNC members,,,1
,DNC member,,ME,Erik Gundersen,,D,,,DNC members,,,1
,DNC member,,ME,Diane M. Denk,,D,,,DNC members,,,1
,DNC member,,MD,Kenneth Rigmaiden,,D,,,DNC members,,,1
,DNC member,,MD,Marc Perrone,,D,,,DNC members,,,1
,DNC member,,MD,Gregory Pecoraro,,D,,,DNC members,,,1
,DNC member,,MD,Glenard S. Middleton,,D,,,DNC members,,,1
,DNC member,,MD,Cory V. McCray,,D,,,DNC members,,,1
,DNC member,,MD,Robert Martinez Jr.,,D,,,DNC members,,,1
,DNC member,,MD,Yvette W. Lewis,,D,,,DNC members,,,1
,DNC member,,MD,Bel W. Leong-Hong,,D,,,DNC members,,,1
,DNC member,,MD,Tefere Gebre,,D,,,DNC members,,,1
,DNC member,,MD,Maya Rockeymoore Cummings,,D,,,DNC members,,,1
,DNC member,,MD,Maria C. Cordone,,D,,,DNC members,,,1
,DNC member,,MA,Susan Thomson,,D,,,DNC members,,,1
,DNC member,,MA,James Roosevelt Jr.,,D,,,DNC members,,,1
,DNC member,,MA,Melvin Poindexter,,D,,,DNC members,,,1
,DNC member,,MA,David M. O'Brien,,D,,,DNC members,,,1
,DNC member,,MA,Debra Kozikowski,,D,,,DNC members,,,1
,DNC member,,MA,Elaine C. Kamarck,,D,,,DNC members,,,1
,DNC member,,MA,Gus Bickford,,D,,,DNC members,,,1
,DNC member,,LA,Arlanda Williams,,D,,,DNC members,,,1
,DNC member,,LA,Karen Carter Peterson,,D,,,DNC members,,,1
,DNC member,,LA,Arthur Morrell,,D,,,DNC members,,,1
,DNC member,,LA,Michael McHale,,D,,,DNC members,,,1
,DNC member,,LA,Deborah J. Langhoff,,D,,,DNC members,,,1
,DNC member,,KY,Nathan Gene Smith,,D,,,DNC members,,,1
